"route","guard","App.tsx line","implementation gap","widths","evidence","populated fixture"
"/customer/:tenantSlug/tickets","customer-auth","498","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/customer/:tenantSlug/tickets/:id","customer-auth","499","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/customer/:tenantSlug/profile","customer-auth","500","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/admin","admin","506","","360 / 390 / 768 / 1440","mock response insufficient; inconclusive","no"
"/admin/tenants","admin","507","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/tenants/:tenantId","admin","508","","360 / 390 / 768 / 1440","mock response insufficient; inconclusive","no"
"/admin/users","admin","509","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/billing","admin","510","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/credits","admin","511","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/coupons","admin","512","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/master-data","admin","513","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/audit-log","admin","514","","360 / 390 / 768 / 1440","mock response insufficient; inconclusive","no"
"/admin/feature-flags","admin","515","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/system","admin","516","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/support","admin","517","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/admin/analytics","admin","518","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/","tenant-auth","523","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/products","tenant-auth","526","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/products/new","tenant-auth","527","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/products/categories","tenant-auth","528","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/products/:id","tenant-auth","529","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/products/:id/edit","tenant-auth","530","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/products/:id/batches/new","tenant-auth","531","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/products/:id/batches/:batchId","tenant-auth","532","","360 / 390 / 768 / 1440","not-found state only","no"
"/products/:id/batches/:batchId/edit","tenant-auth","533","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/dpp","tenant-auth","536","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/dpp/qr-generator","tenant-auth","537","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/dpp/visibility","tenant-auth","538","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/dpp/design","tenant-auth","539","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/dpp/transparency","tenant-auth","540","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/dpp/batch-upload","tenant-auth","541","PLACEHOLDER","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/documents","tenant-auth","544","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/documents/upload","tenant-auth","545","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/documents/tracker","tenant-auth","546","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/supply-chain","tenant-auth","549","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/suppliers","tenant-auth","550","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/suppliers/invitations","tenant-auth","551","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/suppliers/:id","tenant-auth","552","","360 / 390 / 768 / 1440","not-found state only","no"
"/returns","tenant-auth","555","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/list","tenant-auth","556","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/new","tenant-auth","557","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/:id","tenant-auth","558","","360 / 390 / 768 / 1440","not-found state only","no"
"/returns/customers","tenant-auth","560","","","not included in general sweep","no"
"/returns/customers/:id","tenant-auth","561","","360 / 390 / 768 / 1440","not-found state only","no"
"/commerce","tenant-auth","564","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/commerce/mega","tenant-auth","565","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/commerce/orders","tenant-auth","566","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/commerce/channels/:id","tenant-auth","567","","360 / 390 / 768 / 1440","not-found state only","no"
"/crm","tenant-auth","570","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/crm/customers","tenant-auth","571","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/crm/customers/:id","tenant-auth","572","","360 / 390 / 768 / 1440","sparse/error state; inconclusive","no"
"/returns/tickets","tenant-auth","573","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/tickets/:id","tenant-auth","574","","360 / 390 / 768 / 1440","not-found state only","no"
"/returns/reports","tenant-auth","575","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/settings","tenant-auth","576","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/email-templates","tenant-auth","577","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/workflows","tenant-auth","578","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/returns/workflows/:id/builder","tenant-auth","579","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/compliance","tenant-auth","582","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/export","tenant-auth","583","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/audit-log","tenant-auth","584","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/reports","tenant-auth","585","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/reports/ear/:yearMonth","tenant-auth","586","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/reports/lucid/:yearMonth","tenant-auth","587","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/settings","tenant-auth","588","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/compliance/audit","tenant-auth","589","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/news","tenant-auth","592","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/regulations","tenant-auth","593","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/regulations/countries","tenant-auth","594","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/regulations/eu","tenant-auth","595","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/regulations/pictograms","tenant-auth","596","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/regulations/news","tenant-auth","597","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/checklists","tenant-auth","598","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/checklists/:country","tenant-auth","599","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/requirements-calculator","tenant-auth","600","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/market-entry","tenant-auth","601","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse","tenant-auth","604","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/inventory","tenant-auth","605","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/scanner","tenant-auth","606","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/stocktake","tenant-auth","607","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/goods-receipt","tenant-auth","608","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/outstanding-receipts","tenant-auth","609","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/shipments","tenant-auth","610","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/warehouse/shipments/new","tenant-auth","611","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/warehouse/shipments/:id","tenant-auth","612","","360 / 390 / 768 / 1440","rendered with populated synthetic fixture","yes"
"/warehouse/packaging-types","tenant-auth","613","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/transfers","tenant-auth","614","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/movements","tenant-auth","615","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/locations","tenant-auth","616","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/locations/:id","tenant-auth","617","","360 / 390 / 768 / 1440","not-found state only","no"
"/warehouse/contacts","tenant-auth","618","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/contacts/:id","tenant-auth","619","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/campaigns","tenant-auth","620","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/campaigns/new","tenant-auth","621","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/campaigns/:id","tenant-auth","622","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/campaigns/:id/edit","tenant-auth","623","","360 / 390 / 768 / 1440","redirect; destination only","no"
"/warehouse/samples","tenant-auth","624","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/influencer-hub","tenant-auth","625","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/influencer-directory","tenant-auth","626","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/content-gallery","tenant-auth","627","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/influencer-analytics","tenant-auth","628","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/ai","tenant-auth","629","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/settings","tenant-auth","630","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/reports","tenant-auth","631","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/inventory-drift","tenant-auth","632","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/shipping-rates","tenant-auth","633","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/integrations","tenant-auth","634","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/integrations/shopify","tenant-auth","635","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/warehouse/integrations/dhl","tenant-auth","636","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback","tenant-auth","639","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback/queue","tenant-auth","640","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback/ideas","tenant-auth","641","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback/invites","tenant-auth","642","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/feedback/settings","tenant-auth","643","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/pictograms","tenant-auth","646","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/company","tenant-auth","649","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/branding","tenant-auth","650","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/users","tenant-auth","651","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/api-keys","tenant-auth","652","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/billing","tenant-auth","653","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/settings/activity-log","tenant-auth","654","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/help","tenant-auth","657","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
"/security/mfa","tenant-auth","660","","360 / 390 / 768 / 1440","rendered with empty/mock data","no"
